"replicate","p_value","mean_diff","CI_lower","CI_upper","median_diff","CI_median_lower","CI_median_upper","log_ratio","CI_log_lower","CI_log_upper"
479,0.541,0.325753718718548,-0.541648024340464,2.35648480059981,0.14514211910185,-0.541648024340464,2.35648480059981,0.252759308429779,-1.96780101739885,2.10963318595677
499,0.676,0.146372450802682,-0.286144379310204,1.0280540674119,0.0877904096721955,-0.286144379310204,1.0280540674119,0.769585445558542,-3.66201612684214,5.75152590857572
472,0.157,0.976177004043331,-0.0495127747705325,3.67662548405824,0.701457397369945,-0.0495127747705325,3.67662548405824,1.44567286266191,-0.134690212538033,3.31525528514691
482,0.242,-0.333719528854149,-0.722686165371339,0.20634579805954,-0.352830594915555,-0.722686165371339,0.20634579805954,-2.69837308000368,-8.19259159801604,0.479389709855153
488,0.1185,0.676410495696663,-0.0189119976391261,2.5117342804518,0.487165897091894,-0.0189119976391261,2.5117342804518,2.53359459108359,-0.107327708634099,7.42510470997494
481,0.35,0.0201163870008782,-0.53478679502985,1.10138676571162,-0.0631306564489334,-0.53478679502985,1.10138676571162,-0.450089947012315,-4.31506794982172,1.94649495664543
485,0.8825,0.513939077127639,-0.360732838708198,2.60625952540112,0.305916013430538,-0.360732838708198,2.60625952540112,0.608051172581569,-1.13690716622359,2.24046642508434
500,0.5555,-0.0220774523334984,-0.645543162503818,1.29031877166411,-0.131393169898233,-0.645543162503818,1.29031877166411,-0.746662250886789,-5.66454951402634,1.61468445047671
490,0.16,-0.289345386879,-0.632621008411246,0.0492217371704692,-0.288227068933209,-0.632621008411246,0.0492217371704692,-3.10949490571228,-8.76858617519384,0.257421913313393
493,0.835,-0.110424264675579,-0.451239851591094,0.393853776164606,-0.134248509996507,-0.451239851591094,0.393853776164606,-1.67424527291302,-7.31282093553032,1.95072928889781
377,0.7005,0.427427699935447,-0.286318721354868,2.0274613551094,0.286472125170182,-0.286318721354868,2.0274613551094,1.01097825875298,-1.34174260149331,3.78893806962529
432,0.3215,0.023722957288567,-0.501764274601498,1.07008411547814,-0.0575100688099589,-0.501764274601498,1.07008411547814,-0.473541045103645,-4.7284371387765,1.99856922575783
230,0.7375,-0.221573499646331,-0.731769088870463,0.792534142308114,-0.299330272472216,-0.731769088870463,0.792534142308114,-1.38240059009844,-6.25323263604296,1.03315638986807
329,0.0595000000000001,0.140131309144987,-0.542558400506855,1.65490122508978,0.0128964201004859,-0.542558400506855,1.65490122508978,-0.101331750513667,-3.21294921345999,1.97125015685413
421,0.5465,-0.0310413178257916,-0.5240401081143,0.90089454988171,-0.099072565505558,-0.5240401081143,0.90089454988171,-0.721566298919224,-5.51435314081217,2.02158468651941
427,0.9005,-0.187076483368981,-0.795272283046721,0.985956779046811,-0.271065074639831,-0.795272283046721,0.985956779046811,-1.21228371254429,-5.96749969715146,1.21764832098424
460,0.3275,0.562278786296139,-0.144449562947661,2.22605283838176,0.404298395349124,-0.144449562947661,2.22605283838176,1.68995342597033,-0.622642309098819,5.80593623605377
