"ReplicateNumber","S_Value"
283,0.474574603009541
200,0.475435719311558
252,0.417023499237586
251,0.533205803449326
199,0.503086757610072
316,0.369091265020277
349,0.682535083899049
261,0.565285704824739
259,0.375243266862313
257,0.231423778524383
253,0.661342094635881
254,0.60278094412504
255,0.443582976914399
256,0.490223385981102
260,0.28130932189082
315,0.497669141536576
232,0.47172307203007
258,0.486248681138724
350,0.286576694841078
332,0.768896385537489
313,0.767306996359066
329,0.262737604065125
348,0.588652168044099
305,0.629127009429673
304,0.321118345185181
311,0.662644368746727
326,0.538093635216735
309,0.335386169265017
323,0.57777055475953
330,0.374261069011708
302,0.450294610903007
308,0.295222883391026
319,0.609158897122564
306,0.595675166115288
324,0.570125082168901
310,0.301617400576069
312,0.337334316029394
322,0.689642613373985
328,0.327541872540212
301,0.504584142750179
317,0.734920121149608
318,0.214515377846018
321,0.395538235240298
320,0.456643631621258
327,0.243327135835532
249,0.690990544805947
358,0.790920429637364
345,0.626847568479609
325,0.596013526612295
347,0.506670941961699
374,0.271316561187911
341,0.757677082569605
342,0.248947739859991
351,0.307201921111542
303,0.660596317121212
390,0.432057321340443
340,0.616965215688553
400,0.784601571125122
335,0.398136017375137
333,0.41260147257762
344,0.268865363484949
334,0.488356554642706
338,0.539392835153965
346,0.593605813399811
337,0.48358748163053
336,0.359133701910146
343,0.714420886999981
355,0.755710221310649
357,0.461065719785775
339,0.35606045385138
354,0.257903196587524
352,0.622279681176401
383,0.400072288688771
398,0.290854983062863
385,0.456876541211367
353,0.830153242801014
389,0.276891794918985
361,0.400679883834072
382,0.34186472051824
372,0.827260392613171
387,0.662713919210374
363,0.683009756105846
365,0.474349579645375
356,0.30576198292323
373,0.170637613874637
397,0.747105811754164
377,0.542154655577985
362,0.230400369671012
367,0.641126507511236
386,0.518863795504069
399,0.657072469243305
388,0.183018380095272
395,0.638685720487023
360,0.801747634777923
370,0.887517904089923
366,0.690850319697807
368,0.625768893256849
359,0.279187978978122
381,0.832529002055071
369,0.232538837606853
376,0.0937441390536008
380,0.716771620790597
396,0.74595077296902
384,0.441728118176759
379,0.318444660504186
392,0.337214377274204
375,0.468471693214606
287,0.633905948685355
364,0.462981192047978
391,0.569738130712519
378,0.746126628686565
393,0.599842019542521
