"ReplicateNumber","S_Value"
337,0.7952140408899
340,0.741909606264497
341,0.428592910024201
342,0.697477260679758
320,0.475583211994413
343,0.841707163627224
376,0.728274174636655
322,0.8588899258618
390,0.317388817508267
344,0.101807837751083
385,0.332322317494476
333,0.645555546681684
346,0.551732882665316
330,0.546171591641086
348,0.469930224496074
345,0.517594916818087
351,0.77114129414388
334,0.635546653589737
350,0.627284585712991
331,0.457352229937229
391,0.872095279673107
382,0.237153409638483
381,0.291601167243548
383,0.624942446990805
352,0.483471691849407
388,0.649076970479715
389,0.270039175252563
384,0.354055123375323
354,0.746945424437671
400,0.443063122513467
349,0.870956874416146
394,0.360759914401272
399,0.607985224058275
393,0.575314036006284
356,0.495205954542159
355,0.821909907708442
396,0.690073970051839
407,0.297746101741629
398,0.458070934636795
408,0.447002500210106
411,0.7398844139196
397,0.284908965417992
358,0.107581850038081
402,0.706113177829624
406,0.659629218459953
357,0.410133793661752
409,0.773381975562682
410,0.682178115693994
416,0.396527994212577
353,0.560398458202588
414,0.625944338933508
403,0.273289203655752
418,0.520720847291135
415,0.405824834925103
404,0.637236947473137
417,0.575247410562928
405,0.274846584238836
347,0.556360341260437
425,0.285246028701633
419,0.52060732188319
413,0.933553773788102
423,0.248666501686084
424,0.633371438161181
421,0.298834316617451
420,0.271768720984561
412,0.532860027317507
428,0.146991881253903
422,0.536158212778241
359,0.708165095802949
360,0.277731043526389
362,0.880030070839225
361,0.422148000937393
432,0.249288620784162
434,0.516916164737616
436,0.152601194439002
439,0.26444642142675
440,0.296599684131361
366,0.582021978544695
364,0.631939790726125
368,0.433688960230457
445,0.744573191722505
365,0.375418019684274
373,0.870868805451489
372,0.526814518433209
367,0.51456796872178
374,0.174161483197118
375,0.139146472121774
378,0.583858590594545
380,0.801770278075842
377,0.417886425787874
379,0.368697910802636
387,0.234706905479346
386,0.389641659897284
392,0.164696571866927
401,0.49561090987116
395,0.789162044266058
429,0.723023877516768
426,0.372047896368038
427,0.746258000389194
430,0.108696651640509
431,0.608826078478961
433,0.432405275353966
435,0.463186787408266
437,0.402349613352663
443,0.696089423968772
447,0.715778778992907
444,0.476753728048639
438,0.602669093888532
446,0.44033581621018
448,0.618808775881057
442,0.655779154775666
449,0.454055407702638
452,0.734768683938155
453,0.0612973550273747
469,0.619383117631783
462,0.583354304067607
457,0.0912476341399641
455,0.408982321697169
451,0.88348149642159
454,0.573869748232451
460,0.435088435913964
458,0.776425109725132
464,0.205730449435981
456,0.603681621448092
489,0.750690798736535
459,0.167675221942849
468,0.110767564504134
476,0.70116239646119
450,0.975689471161085
472,0.793732283706506
467,0.832511138922244
474,0.583430108156407
471,0.622263877407218
470,0.869564110987974
463,0.581901012451298
484,0.507219123113728
486,0.587141521205824
461,0.378107362671701
475,0.481209579813792
465,0.668124575457273
488,0.282779319443855
487,0.736885080077679
479,0.843583948169569
481,0.725068308820352
485,0.528648260486959
478,0.150504442305294
466,0.802399849670516
473,0.652838724835046
483,0.630407212555068
480,0.364867481352829
482,0.175239527703176
477,0.272786645813523
441,0.284863049339483
490,0.402196629504801
495,0.699306142422586
494,0.523757482038947
497,0.585343523559554
500,0.714024399153126
496,0.822497674624848
498,0.646251142250228
499,0.219865320386215
493,0.818993526429913
491,0.375270781125021
492,0.719239147014706
489,0.760335183646889
