"replicate_number","estimated_QST","p_value_pos","p_value_neg","p_value"
87,0.319261072547911,0.047952047952048,0.953046953046953,0.048
89,0.155441087396202,0.390609390609391,0.61038961038961,0.856
94,0.0932750283313929,0.616383616383616,0.384615384615385,0.665
100,0.130751832015631,0.464535464535465,0.536463536463537,0.964
92,0.120174451542414,0.520479520479521,0.480519480519481,0.848
90,0.105707490048417,0.559440559440559,0.441558441558442,0.772
96,0.00579976087079967,0.943056943056943,0.0579420579420579,0.145
99,0.0295031953608962,0.855144855144855,0.145854145854146,0.291
95,0.243165514211803,0.138861138861139,0.862137862137862,0.244
93,0.317245955760703,0.041958041958042,0.959040959040959,0.044
91,0.0403200939843274,0.842157842157842,0.158841158841159,0.351
98,0.0858518042272821,0.64035964035964,0.360639360639361,0.636
82,0.0423598509605241,0.838161838161838,0.162837162837163,0.288
97,0.0769513876444391,0.707292707292707,0.293706293706294,0.523
86,0.165429954316847,0.314685314685315,0.686313686313686,0.749
85,0.0333972514886471,0.873126873126873,0.127872127872128,0.272
84,0.072910812817962,0.714285714285714,0.286713286713287,0.519
83,0.178128532053924,0.297702297702298,0.703296703296703,0.671
79,0.0962375317072339,0.61038961038961,0.390609390609391,0.7
75,0.0419659193425631,0.826173826173826,0.174825174825175,0.365
81,0.137219634144262,0.435564435564436,0.565434565434565,0.974
80,0.116474516212945,0.528471528471528,0.472527472527473,0.848
73,0.110067241595164,0.526473526473527,0.474525474525474,0.819
77,0.112375713149995,0.553446553446553,0.447552447552448,0.793
70,0.192516254178805,0.281718281718282,0.719280719280719,0.605
72,-0.0333814633961111,0.994005994005994,0.00699300699300699,0.073
74,0.0410648286206808,0.86013986013986,0.140859140859141,0.283
78,0.242346443815841,0.152847152847153,0.848151848151848,0.269
71,0.171066558087581,0.333666333666334,0.667332667332667,0.729
76,0.0628963434515866,0.79020979020979,0.210789210789211,0.421
138,0.124677380557066,0.506493506493506,0.494505494505495,0.922
116,0.238032138981873,0.145854145854146,0.855144855144855,0.284
118,0.259013230073831,0.132867132867133,0.868131868131868,0.226
111,0.286106297874479,0.0989010989010989,0.902097902097902,0.116
117,0.211700421404299,0.17982017982018,0.821178821178821,0.411
114,0.0758425842956226,0.718281718281718,0.282717282717283,0.502
119,0.112970009030361,0.551448551448551,0.44955044955045,0.761
115,0.038458611112835,0.837162837162837,0.163836163836164,0.311
112,-0.0149517364978812,0.974025974025974,0.026973026973027,0.113
102,0.18762982921351,0.246753246753247,0.754245754245754,0.544
101,0.336600609236281,0.051948051948052,0.949050949050949,0.052
105,0.0550131698691825,0.78021978021978,0.220779220779221,0.388
103,0.147714973905643,0.383616383616384,0.617382617382617,0.876
109,0.184825250437144,0.282717282717283,0.718281718281718,0.595
104,0.175466873470015,0.322677322677323,0.678321678321678,0.733
106,0.0836495966056406,0.674325674325674,0.326673326673327,0.57
110,0.0960431355432163,0.637362637362637,0.363636363636364,0.69
108,0.333502763081642,0.0919080919080919,0.909090909090909,0.094
107,0.243580089206403,0.164835164835165,0.836163836163836,0.306
137,0.263891947340623,0.104895104895105,0.896103896103896,0.15
140,0.0948590771643216,0.641358641358641,0.35964035964036,0.645
143,0.180862620598771,0.302697302697303,0.698301698301698,0.677
149,0.0535984787080886,0.818181818181818,0.182817182817183,0.367
139,0.0815507077858685,0.696303696303696,0.304695304695305,0.562
144,0.0571171737993005,0.768231768231768,0.232767232767233,0.439
141,0.0847898728255731,0.677322677322677,0.323676323676324,0.588
147,0.204162372396571,0.24975024975025,0.751248751248751,0.533
146,0.109115469669027,0.527472527472527,0.473526473526474,0.833
142,0.151724665086416,0.378621378621379,0.622377622377622,0.896
145,0.0699762955300255,0.73026973026973,0.270729270729271,0.503
148,0.083374216739778,0.651348651348651,0.34965034965035,0.672
150,0.0563988874064309,0.792207792207792,0.208791208791209,0.373
133,0.0513038653889652,0.794205794205794,0.206793206793207,0.386
134,0.295993365824572,0.0629370629370629,0.938061938061938,0.073
136,0.0761607772149891,0.697302697302697,0.303696303696304,0.519
132,0.0521020884623942,0.801198801198801,0.1998001998002,0.37
128,-0.0249741034400705,0.983016983016983,0.017982017982018,0.098
135,0.215809630036065,0.200799200799201,0.8001998001998,0.4
122,0.0716462637913542,0.73026973026973,0.270729270729271,0.495
127,0.191529856235121,0.264735264735265,0.736263736263736,0.532
120,0.34660506710059,0.02997002997003,0.971028971028971,0.029
121,0.0342538208865003,0.856143856143856,0.144855144855145,0.308
124,0.153600157933134,0.370629370629371,0.63036963036963,0.835
123,0.199253522434272,0.202797202797203,0.798201798201798,0.488
130,0.15341002455803,0.352647352647353,0.648351648351648,0.857
129,0.13635599716146,0.454545454545455,0.546453546453546,0.977
125,0.24366203567394,0.161838161838162,0.839160839160839,0.291
126,0.143644153708881,0.427572427572428,0.573426573426573,0.974
131,0.0790956024021697,0.698301698301698,0.302697302697303,0.613
113,0.0850111013681624,0.655344655344655,0.345654345654346,0.616
166,0.228715798552611,0.153846153846154,0.847152847152847,0.296
188,0.0808410980451569,0.704295704295704,0.296703296703297,0.548
167,0.117921699933439,0.494505494505495,0.506493506493506,0.896
165,0.182883178748513,0.278721278721279,0.722277722277722,0.661
164,0.072304062053999,0.718281718281718,0.282717282717283,0.509
169,-0.0098008357277861,0.979020979020979,0.021978021978022,0.095
168,0.0216899622534138,0.905094905094905,0.0959040959040959,0.226
161,0.0795332081914539,0.682317682317682,0.318681318681319,0.539
162,0.145384795675032,0.398601398601399,0.602397602397602,0.931
153,0.0507270156015957,0.831168831168831,0.16983016983017,0.327
154,0.146012973105115,0.413586413586414,0.587412587412587,0.92
187,0.0437094222525428,0.835164835164835,0.165834165834166,0.332
152,0.112169995451751,0.563436563436563,0.437562437562438,0.836
151,0.174424633427407,0.290709290709291,0.71028971028971,0.708
163,0.165421634629088,0.350649350649351,0.65034965034965,0.786
191,0.123023861885242,0.512487512487512,0.488511488511489,0.906
155,0.0236368524355119,0.92007992007992,0.0809190809190809,0.197
157,0.0407670998338635,0.823176823176823,0.177822177822178,0.335
159,0.217449615781482,0.195804195804196,0.805194805194805,0.389
158,0.127102879829713,0.477522477522478,0.523476523476524,0.941
160,0.183316457908521,0.296703296703297,0.704295704295704,0.605
190,0.183751685140556,0.277722277722278,0.723276723276723,0.635
156,0.207753677691575,0.236763236763237,0.764235764235764,0.493
193,0.00636652506690273,0.949050949050949,0.051948051948052,0.146
194,0.235045024339785,0.147852147852148,0.853146853146853,0.284
200,0.115696119617547,0.527472527472527,0.473526473526474,0.86
192,0.150494100552206,0.325674325674326,0.675324675324675,0.812
195,0.0404845726867146,0.852147852147852,0.148851148851149,0.296
197,0.148664876338933,0.406593406593407,0.594405594405594,0.917
189,0.0376812396064207,0.843156843156843,0.157842157842158,0.316
199,0.2091671841381,0.216783216783217,0.784215784215784,0.447
198,0.0934161303137032,0.618381618381618,0.382617382617383,0.665
196,0.043994751738047,0.814185814185814,0.186813186813187,0.359
183,0.189912158391873,0.272727272727273,0.728271728271728,0.614
182,0.115291865860357,0.532467532467532,0.468531468531469,0.799
186,0.0284043390443479,0.888111888111888,0.112887112887113,0.243
185,0.500413893545935,0.033966033966034,0.967032967032967,0.033
184,0.120425023716782,0.491508491508492,0.509490509490509,0.882
180,0.0905721576077329,0.658341658341658,0.342657342657343,0.614
173,0.159910586604584,0.324675324675325,0.676323676323676,0.801
175,0.0210601551765678,0.924075924075924,0.0769230769230769,0.176
170,0.250973151012896,0.125874125874126,0.875124875124875,0.194
174,0.142306949664927,0.438561438561439,0.562437562437562,0.979
178,0.0439119102151654,0.824175824175824,0.176823176823177,0.329
177,0.219482783566795,0.1998001998002,0.801198801198801,0.37
179,0.0313880545088482,0.873126873126873,0.127872127872128,0.266
181,0.215694295613277,0.206793206793207,0.794205794205794,0.396
172,0.0595751118436546,0.751248751248751,0.24975024975025,0.447
176,0.352002142870576,0.018981018981019,0.982017982017982,0.018
171,0.156325836096874,0.398601398601399,0.602397602397602,0.832
238,0.245062445192347,0.180819180819181,0.82017982017982,0.321
211,0.139498697611447,0.425574425574426,0.575424575424575,0.969
216,0.237896038857389,0.135864135864136,0.865134865134865,0.289
217,-0.0245391416520467,0.991008991008991,0.00999000999000999,0.063
219,0.182786346945515,0.257742257742258,0.743256743256743,0.592
214,-0.0193481492616864,0.982017982017982,0.018981018981019,0.091
218,-0.00178413471125919,0.973026973026973,0.027972027972028,0.113
215,0.0696470132364702,0.74025974025974,0.260739260739261,0.483
208,0.0876172540953239,0.647352647352647,0.353646353646354,0.644
212,0.35075887236555,0.041958041958042,0.959040959040959,0.041
205,0.0954040484042275,0.642357642357642,0.358641358641359,0.633
201,0.0426450518378264,0.83016983016983,0.170829170829171,0.337
206,0.197297314059684,0.21978021978022,0.781218781218781,0.489
204,0.216348267878196,0.207792207792208,0.793206793206793,0.429
203,0.219373401581748,0.18981018981019,0.811188811188811,0.422
202,0.301596246936737,0.0659340659340659,0.935064935064935,0.07
210,-0.0322341886500542,0.996003996003996,0.004995004995005,0.051
209,0.133838898958233,0.452547452547453,0.548451548451548,0.99
207,0.18683956483421,0.262737262737263,0.738261738261738,0.607
248,0.0932993338582835,0.638361638361638,0.362637362637363,0.651
237,0.0839347532449006,0.677322677322677,0.323676323676324,0.579
240,0.0989640161664499,0.613386613386613,0.387612387612388,0.703
244,0.168192795614985,0.332667332667333,0.668331668331668,0.784
245,0.178786944793787,0.318681318681319,0.682317682317682,0.708
