"replicate_number","estimated_QST","p_value_pos","p_value_neg","p_value"
60,0.187528962019611,0.607392607392607,0.393606393606394,0.687
58,0.42136468890515,0.0659340659340659,0.935064935064935,0.108
83,0.307503916486368,0.253746253746254,0.747252747252747,0.536
74,0.179386310782071,0.666333666333666,0.334665334665335,0.655
78,0.238487979397574,0.41958041958042,0.581418581418581,0.977
76,0.462906977862355,0.106893106893107,0.894105894105894,0.134
77,0.209797756111878,0.56043956043956,0.440559440559441,0.865
90,0.245204358190821,0.391608391608392,0.609390609390609,0.905
79,0.0873995468458708,0.895104895104895,0.105894105894106,0.22
75,0.233322883803253,0.488511488511489,0.512487512487512,0.996
72,0.241760298350148,0.457542457542458,0.543456543456543,0.972
80,0.167467804896266,0.686313686313686,0.314685314685315,0.542
92,0.135489521689877,0.784215784215784,0.216783216783217,0.398
94,0.149299681055538,0.743256743256743,0.257742257742258,0.476
93,0.312950330433566,0.204795204795205,0.796203796203796,0.483
52,0.0420225568044932,0.968031968031968,0.032967032967033,0.08
91,0.150183892841199,0.736263736263736,0.264735264735265,0.458
85,0.302791910918856,0.236763236763237,0.764235764235764,0.566
71,0.240286661294041,0.436563436563437,0.564435564435564,0.935
86,0.178368972512451,0.655344655344655,0.345654345654346,0.667
87,0.450152407983705,0.0569430569430569,0.944055944055944,0.074
53,0.119485653515205,0.821178821178821,0.17982017982018,0.329
73,0.351636052274333,0.157842157842158,0.843156843156843,0.331
81,0.200521217513995,0.575424575424575,0.425574425574426,0.787
89,0.300149678511503,0.264735264735265,0.736263736263736,0.606
88,0.25776481548908,0.38961038961039,0.611388611388611,0.864
51,0.176133445774574,0.653346653346653,0.347652347652348,0.62
84,0.167983062722782,0.682317682317682,0.318681318681319,0.591
150,0.143538288527639,0.756243756243756,0.244755244755245,0.45
145,0.111379369703358,0.844155844155844,0.156843156843157,0.293
146,0.138273101495531,0.762237762237762,0.238761238761239,0.41
148,0.439364007127448,0.041958041958042,0.959040959040959,0.062
144,0.264155197356927,0.392607392607393,0.608391608391608,0.826
149,0.378608110762188,0.101898101898102,0.899100899100899,0.226
147,0.111252834714712,0.846153846153846,0.154845154845155,0.289
102,0.334548732174086,0.214785214785215,0.786213786213786,0.452
103,0.0819240598566888,0.879120879120879,0.121878121878122,0.246
106,0.0940459439911452,0.892107892107892,0.108891108891109,0.21
104,0.0979908406498942,0.874125874125874,0.126873126873127,0.244
105,0.307639514824769,0.256743256743257,0.744255744255744,0.586
118,0.555966723864295,0.00899100899100899,0.992007992007992,0.008
116,0.483708937192588,0.033966033966034,0.967032967032967,0.034
117,0.141455090255546,0.739260739260739,0.261738261738262,0.49
131,0.224037474416625,0.503496503496504,0.497502497502497,0.934
122,0.242349744880148,0.421578421578422,0.579420579420579,0.925
133,0.383239016484626,0.114885114885115,0.886113886113886,0.216
115,0.0875062867627507,0.897102897102897,0.103896103896104,0.21
119,0.302896205743765,0.258741258741259,0.742257742257742,0.586
121,0.133715574104245,0.783216783216783,0.217782217782218,0.414
141,0.28874750249304,0.260739260739261,0.74025974025974,0.593
114,0.236696113111912,0.460539460539461,0.54045954045954,0.984
132,0.269685412576699,0.336663336663337,0.664335664335664,0.761
113,0.135456406467989,0.758241758241758,0.242757242757243,0.446
110,0.156380833381861,0.711288711288711,0.28971028971029,0.506
109,0.198046797694645,0.61038961038961,0.390609390609391,0.774
137,0.0802481603080199,0.9000999000999,0.100899100899101,0.202
112,0.162430671028889,0.694305694305694,0.306693306693307,0.558
111,0.0565141217560433,0.942057942057942,0.0589410589410589,0.122
130,0.160735211655113,0.706293706293706,0.294705294705295,0.536
125,0.398831005456169,0.0899100899100899,0.911088911088911,0.15
127,0.214490566769403,0.537462537462537,0.463536463536464,0.868
